Project,ID,Multisig address,Safe Explorer,Status,Final Report,Original Proposal,Rocketeer(s),Delegate,Team,Multisig Signers,Senate Signers,End Date,Coordinape,Notes Sheet,Drive,DeWork,Github Repo
Skyline Digital,SKYL,,,Active,Skyline Digital Fiat On-Ramp: Final Report,MDP-143: Skyline Digital Fiat On-Ramp,Pablo,,"Pablo
Ryan
Mitchie",,,,,,,,
Governance: Nance Integration,NAN,,,Active,MoonDAO Governance: Nance Integration: Final Report,MDP -141: MoonDAO Governance: Nance Integration,Jigglyjams,,"Jigglyjams
TwoDam",,N/A,6/30/2024,,,,,
Second Astronaut Support Q2,SEC,0xFFe1bcF92156f50c78F0B6dE4B5fAa3fAA6AdB52,,Active,2nd Astronaut Support Q2: Final Report,MDP-142: 2nd Astronaut Support Q2,Ryan,,"DrEiman
Ryan
Titan",,N/A,6/30/2024,,,,,
Citizen And Entity Go-To-Market,GTM,0x82B5614e2C3c9963C2d6645558f30e032003C699,,Active,MoonDAO Entities: Final Report,MDP-140: MoonDAO Entities Go-To-Market,Pablo,,"Pablo
Ryan
Mitchie
Colin
Shelden",,N/A,6/30/2024,,,,,
Desci Community Validations,DCV,0x75E13BcA092ab655Ce89fF25fE3f775411D37bd8,https://app.safe.global/home?chain=eth&safe=eth:0x75E13BcA092ab655Ce89fF25fE3f775411D37bd8,Active,Desci Community Validations: Final Report,MDP-129: DeSci Community Validations,Phil,Ryan,"Phil
Carla
Royalty
","Phil
Carla
Royalty
Mitchie
Pablo","Mitchie
Pablo
Colin",3/31/2024,https://app.coordinape.com/circles/30608/epochs,N/A,N/A,N/A,N/A
MOONEY Distribution Definition,DIS,N/A,N/A,Active,$MOONEY Token Allocations And Token Management: Final Report,MDP-130: MOONEY Token Allocations And Token Management,Pablo,Mitchie,N/A,N/A,"Colin
Ben
Phil",6/31/2024,N/A,N/A,N/A,N/A,N/A
MoonDAO Summer Internship,INT,,,Active,,MDP-144: MoonDAO Summer Internship,Mitchie,,"Mitchie
Ryan
Pablo
Colin",,N/A,9/30/2024,,,,,
SpaceTime Protocol,SPA,0x4E1F1Cf3E973516Cd361816c9AdB6C6d922aBfD9,https://app.safe.global/home?chain=eth&safe=eth:0x4E1F1Cf3E973516Cd361816c9AdB6C6d922aBfD9,Complete,Spacetime Protocol: Final Report,MDP-122: Spacetime Protocol (STP) - DePrize Problem Challenge,Phil,Pablo,"Phil
Ashley","Mitchie
Pablo
Ryan
Colin
Phil","Mitchie
Colin
Ryan",3/31/2024,N/A,N/A,MDP-122: SpaceTime Protocol,N/A,N/A
MoonDAO Digital Asset Marketplace Expansion #1,MAR,N/A,N/A,Complete,MoonDAO Digital Asset Marketplace Expansion #1: Final Report,MoonDAO Digital Asset Marketplace : Expansion #1,Colin,N/A,"Colin
Ariel",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Webmaster V2,WEB,0xDEb655a6F7F23Dc12cE5610Fc47a87A2176e46a7,https://app.safe.global/home?chain=eth&safe=eth:0xDEb655a6F7F23Dc12cE5610Fc47a87A2176e46a7,Complete,MoonDAO Webmaster V2: Final Report,MDP-120: MoonDAO WebMaster V2,Colin,Pablo,Colin,"Colin
Pablo
Mitchie
Ballack
Ryan","Lucas
Mitchie
Ryan",3/31/2024,N/A,N/A,N/A,N/A,N/A
