name,ENS,Address,Type,Quarter,Explorer Link,Note
Anastasiaanastasiaadastra,,0x529bd2351476ba114f9d60e71a020a9f0b99f047,Personal - Payout (EOA),,https://etherscan.io/address/0x529bd2351476ba114f9d60e71a020a9f0b99f047,
Anastasiaanastasiaadastra,,0x4E3c80f6337E513401599a9Fb2A05632A499E769,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x4E3c80f6337E513401599a9Fb2A05632A499E769,
Anna_anna5501,,0x6Af6DCac097EF957F0155d7Ce26CC65996226423,Personal - Payout (EOA),,https://etherscan.io/address/0x6Af6DCac097EF957F0155d7Ce26CC65996226423,
Anna_anna5501,,0xb67726004AF4F660594206abd6B6e6D6689Be4f9,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xb67726004AF4F660594206abd6B6e6D6689Be4f9,
AriAriBruce#2325,,0xC9DF88762F9D882E2cF88224DE4f27d45100B7Db,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xC9DF88762F9D882E2cF88224DE4f27d45100B7Db,
AriAriBruce#2325,,0x2c485a4DaD1c1a6a031A6DB08D5212b74A4A50e7,Personal - Payout (EOA),,https://etherscan.io/address/0x2c485a4DaD1c1a6a031A6DB08D5212b74A4A50e7,
AriAriBruce#2325,,0x9103A9C20124023C22a3EB3c3e7D012f431cF676,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x9103A9C20124023C22a3EB3c3e7D012f431cF676,
Arielcryptoariel,,0x407F28ECd4e3EBC4288F5824e8De4fc0aF5463ED,Personal - Payout (EOA),,https://etherscan.io/address/0x407F28ECd4e3EBC4288F5824e8De4fc0aF5463ED,
Arielcryptoariel,,0xBF257E399147ca7FC0d9fC0c6dc4C6Eb2B9Bf5CA,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xBF257E399147ca7FC0d9fC0c6dc4C6Eb2B9Bf5CA,
Arielcryptoariel,,0x16C8C861963950FC2199897aBc37D78b347689A3,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x16C8C861963950FC2199897aBc37D78b347689A3,
Ashleyashsack,,0x3E08F6e00e78019AA571d144e1cC9b30E80F6646,Personal - Payout (EOA),,https://etherscan.io/address/0x3E08F6e00e78019AA571d144e1cC9b30E80F6646,
Ashleyashsack,,0x18ceDA86b8aE582C2029D208C58d1E6f65B68340,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x18ceDA86b8aE582C2029D208C58d1E6f65B68340,
Ashleyashsack,,0xF6b629CdbBa91C0853E32BA76dbA3c11FD29EC47,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xF6b629CdbBa91C0853E32BA76dbA3c11FD29EC47,
Elizaastroeliza,,0x08E424b69851b7b210bA3E5E4233Ca6fcc1ADEdb,Personal - Payout (EOA),,https://etherscan.io/address/0x08E424b69851b7b210bA3E5E4233Ca6fcc1ADEdb,
Elizaastroeliza,,0x7c36841e01E13c7c997f325E618ADd09fC7b83Af,vMOONEY Safe,Q2 2024,https://app.safe.global/home?safe=matic:0x7c36841e01E13c7c997f325E618ADd09fC7b83Af,
Ballackballack6780,,0x6Ae385654CA814C5cAb3fF6a6deb420b681fE7A0,Personal - Payout (EOA),,https://etherscan.io/address/0x6Ae385654CA814C5cAb3fF6a6deb420b681fE7A0,
Ballackballack6780,,0xece736d82FD756E50c9F93b3c2fa9b350963703d,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xece736d82FD756E50c9F93b3c2fa9b350963703d,
Ballackballack6780,,0xf5432363c7B96d690089b5163F53Da3210E2E3E6,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0xf5432363c7B96d690089b5163F53Da3210E2E3E6,
Ballackballack6780,,0x529f0281E707B03915a347082B9532fe1BDBDe46,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x529f0281E707B03915a347082B9532fe1BDBDe46,
"BarneyBarney(🌜,🌛)#4593",,0xeDF7F7ef9Cb71Fd24517A3c700cD4b3BB3664D12,Personal - Payout (EOA),,https://etherscan.io/address/0xeDF7F7ef9Cb71Fd24517A3c700cD4b3BB3664D12,
"BarneyBarney(🌜,🌛)#4593",,0x4C66D1beA9647C7C7D73f3CDd20C700aE85cd3ef,Misc,,https://etherscan.io/address/0x4C66D1beA9647C7C7D73f3CDd20C700aE85cd3ef,
"BarneyBarney(🌜,🌛)#4593",,0xeA83F862ca15Fbc4F6300580F698C22e20be43d2,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0xeA83F862ca15Fbc4F6300580F698C22e20be43d2,
Benbenlifeship,lifeship.eth,0x87678f9229910d5462Ee26Df6f7b4cf41888638C,Personal - Payout (EOA),,https://etherscan.io/address/0x87678f9229910d5462Ee26Df6f7b4cf41888638C,
Benbenlifeship,,0x50A1b3486f269cd281D6756d8F916C5E8395c6F4,vMOONEY Safe,"Q1, Q2 2023",https://app.safe.global/home?safe=matic:0x50A1b3486f269cd281D6756d8F916C5E8395c6F4,
Benbenlifeship,,0x9c5adBA046AB716D08D5f7dE66463c201585398C,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x9c5adBA046AB716D08D5f7dE66463c201585398C,
Benbenlifeship,,0xd5cFB5bF0Fe6a67E19e286DD6bE5684d5a1155e9,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0xd5cFB5bF0Fe6a67E19e286DD6bE5684d5a1155e9,
carla0stcarla0st,,0x573B64aB6896048EE3629C675a4BcF43f15CAe67,Personal - Payout (EOA),,https://etherscan.io/address/0x573B64aB6896048EE3629C675a4BcF43f15CAe67,
carla0stcarla0st,,0x74767Ae10A4767161480C0Cf9a7e566B3b6920DE,vMOONEY Safe,"Q3, Q4 2023",https://app.safe.global/home?safe=matic:0x74767Ae10A4767161480C0Cf9a7e566B3b6920DE,
carla0stcarla0st,,0x0AEA890cb7cBfCf9F641d01420136d9817f6438B,vMOONEY Safe,Q1 2024,https://app.safe.global/home?safe=matic:0x0AEA890cb7cBfCf9F641d01420136d9817f6438B,
